observationcode,obs_value,observationstatus,data_source
618,88.8,Adjusted,"MICS 2012"
619,88.9,Adjusted,"MICS 2012"
620,95.5,Adjusted,"MICS 2012"
621,96.8,Adjusted,"MICS 2012"
622,94.3,Adjusted,"MICS 2012"
623,26.8,Adjusted,"MICS 2011"
624,28.6,Adjusted,"MICS 2011"
625,30.4,Adjusted,"MICS 2011"
626,32.5,Adjusted,"DHS 2017-18"
627,30.4,Adjusted,"DHS 2017-18"
628,28.1,Adjusted,"DHS 2017-18"
629,53.9,Adjusted,"MICS 2010"
630,51.6,Adjusted,"MICS 2010"
631,52.8,Adjusted,"MICS 2010"
632,94.2,Adjusted,"MICS 2011-12"
633,96,Adjusted,"MICS 2011-12"
634,84.9,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
635,86.8,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
636,88.8,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
637,18,Adjusted,"DHS 2010"
638,17.2,Adjusted,"DHS 2010"
639,18.8,Adjusted,"DHS 2010"
640,27.4,Adjusted,"DHS 2016-17"
641,21.1,Adjusted,"DHS 2016-17"
642,24.2,Adjusted,"DHS 2016-17"
643,54,Adjusted,"DHS 2014"
644,50.4,Adjusted,"DHS 2014"
645,47.1,Adjusted,"DHS 2014"
646,50.4,Adjusted,"MICS 2014"
647,49.4,Adjusted,"MICS 2014"
648,51.4,Adjusted,"MICS 2014"
649,14.9,Adjusted,"MICS 2010"
650,17.2,Adjusted,"MICS 2010"
651,12.8,Adjusted,"MICS 2010"
652,15.9,Adjusted,"DHS 2014-15"
653,10.6,Adjusted,"DHS 2014-15"
654,13.3,Adjusted,"DHS 2014-15"
655,58.8,Adjusted,"CASEN 2017"
656,60.8,Adjusted,"CASEN 2017"
657,59.8,Adjusted,"CASEN 2017"
658,73,Adjusted,"National Population Sample Survey 2015"
659,74,Adjusted,"National Population Sample Survey 2015"
660,77.3,Adjusted,"DHS 2015"
661,73.8,Adjusted,"DHS 2015"
662,80.9,Adjusted,"DHS 2015"
663,44.7,Adjusted,"DHS 2012"
664,52.3,Adjusted,"DHS 2012"
665,48.5,Adjusted,"DHS 2012"
666,67.2,Adjusted,"MICS 2014-15"
667,64.7,Adjusted,"MICS 2014-15"
668,62.2,Adjusted,"MICS 2014-15"
669,72.9,Adjusted,"MICS 2011"
670,71.4,Adjusted,"MICS 2011"
671,72.1,Adjusted,"MICS 2011"
672,40.3,Adjusted,"MICS 2016"
673,37.6,Adjusted,"MICS 2016"
674,42.8,Adjusted,"MICS 2016"
675,97.8,Adjusted,"MICS 2017"
676,94.4,Adjusted,"MICS 2017"
677,96.1,Adjusted,"MICS 2017"
678,31.1,Adjusted,"DHS 2013-14"
679,35,Adjusted,"DHS 2013-14"
680,38.9,Adjusted,"DHS 2013-14"
681,64.9,Adjusted,"MICS 2014"
682,58.2,Adjusted,"MICS 2014"
683,72.1,Adjusted,"MICS 2014"
684,85.9,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
685,81,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
686,83.4,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
687,84.9,Adjusted,"DHS 2014"
688,85.5,Adjusted,"DHS 2014"
689,71,Adjusted,"MICS 2014"
690,73.2,Adjusted,"MICS 2014"
691,54.8,Adjusted,"EPHS 2010"
692,63.2,Adjusted,"EPHS 2010"
693,59.1,Adjusted,"EPHS 2010"
694,40.7,Adjusted,"MICS 2014"
695,32.9,Adjusted,"MICS 2014"
696,48.4,Adjusted,"MICS 2014"
697,29.3,Adjusted,"DHS 2016"
698,27.2,Adjusted,"DHS 2016"
699,25.2,Adjusted,"DHS 2016"
700,50.6,Adjusted,"DHS 2012"
701,58.5,Adjusted,"DHS 2012"
702,54.8,Adjusted,"DHS 2012"
703,38.2,Adjusted,"MICS 2018"
704,44.2,Adjusted,"MICS 2018"
705,49.7,Adjusted,"MICS 2018"
706,34.5,Adjusted,"DHS 2014"
707,33.8,Adjusted,"DHS 2014"
708,33,Adjusted,"DHS 2014"
709,51.8,Adjusted,"DHS 2014-15"
710,49.5,Adjusted,"DHS 2014-15"
711,54.2,Adjusted,"DHS 2014-15"
712,33.3,Adjusted,"MICS 2016"
713,30.3,Adjusted,"MICS 2016"
714,27,Adjusted,"MICS 2016"
715,9.3,Adjusted,"MICS 2014"
716,9.6,Adjusted,"MICS 2014"
717,9.9,Adjusted,"MICS 2014"
718,91.5,Adjusted,"MICS 2014"
719,93.1,Adjusted,"MICS 2014"
720,94.8,Adjusted,"MICS 2014"
721,34.6,Adjusted,"DHS 2016-17"
722,22.9,Adjusted,"DHS 2016-17"
723,28.4,Adjusted,"DHS 2016-17"
724,47.1,Adjusted,"Encuesta Permanente de Hogares 2014"
725,44.7,Adjusted,"Encuesta Permanente de Hogares 2014"
726,45.9,Adjusted,"Encuesta Permanente de Hogares 2014"
727,80.1,Adjusted,"DHS 2015-16"
728,80.5,Adjusted,"DHS 2015-16"
729,79.7,Adjusted,"DHS 2015-16"
730,89.1,Adjusted,"National Socio-Economic Survey 2015"
731,84.9,Adjusted,"National Socio-Economic Survey 2015"
732,86.9,Adjusted,"National Socio-Economic Survey 2015"
733,57.5,Adjusted,"MICS 2018"
734,92,Adjusted,"MICS 2011"
735,91.9,Adjusted,"MICS 2011"
736,89.6,Adjusted,"DHS 2017-18"
737,88.6,Adjusted,"DHS 2017-18"
738,89.1,Adjusted,"DHS 2017-18"
739,99.4,Adjusted,"MICS 2015"
740,42.2,Adjusted,"DHS 2014"
741,46.3,Adjusted,"DHS 2014"
742,38.2,Adjusted,"DHS 2014"
743,96.5,Adjusted,"MICS 2018"
744,97.4,Adjusted,"MICS 2018"
745,61.5,Adjusted,"MICS 2017"
746,60.5,Adjusted,"MICS 2017"
747,59.4,Adjusted,"MICS 2017"
748,66.9,Adjusted,"MICS 2018"
749,54.5,Adjusted,"MICS 2018"
750,42.3,Adjusted,"MICS 2018"
751,14.1,Adjusted,"DHS 2013"
752,14.6,Adjusted,"DHS 2013"
753,13.6,Adjusted,"DHS 2013"
754,23,Adjusted,"MICS 2018"
755,27.2,Adjusted,"MICS 2018"
756,31.5,Adjusted,"MICS 2018"
757,25.2,Adjusted,"DHS 2015-16"
758,28,Adjusted,"DHS 2015-16"
759,83.7,Adjusted,"DHS 2016-17"
760,82,Adjusted,"DHS 2016-17"
761,30.4,Adjusted,"MICS 2015"
762,36.3,Adjusted,"MICS 2015"
763,33.5,Adjusted,"MICS 2015"
764,30.3,Adjusted,"MICS 2015"
765,26.9,Adjusted,"MICS 2015"
766,28.5,Adjusted,"MICS 2015"
767,89.5,Adjusted,"ENIGH 2018"
768,90.6,Adjusted,"ENIGH 2018"
769,88.6,Adjusted,"ENIGH 2018"
770,94.3,Adjusted,"MICS 2018"
771,93,Adjusted,"MICS 2018"
772,91.9,Adjusted,"MICS 2018"
773,95.9,Adjusted,"MICS 2013"
774,94.5,Adjusted,"MICS 2013"
775,93.2,Adjusted,"MICS 2013"
776,15.8,Adjusted,"DHS 2011"
777,16.6,Adjusted,"DHS 2011"
778,15.1,Adjusted,"DHS 2011"
779,66.9,Adjusted,"DHS 2015-16"
780,71,Adjusted,"DHS 2015-16"
781,53.5,Adjusted,"DHS 2013"
782,67.4,Adjusted,"DHS 2013"
783,60.3,Adjusted,"DHS 2013"
784,46.6,Adjusted,"DHS 2016"
785,46.4,Adjusted,"DHS 2016"
786,46.2,Adjusted,"DHS 2016"
787,19.3,Adjusted,"DHS 2012"
788,16.8,Adjusted,"DHS 2012"
789,21.4,Adjusted,"DHS 2012"
790,44.9,Adjusted,"DHS 2018"
791,44.7,Adjusted,"DHS 2018"
792,44.8,Adjusted,"DHS 2018"
793,86.1,Adjusted,"MICS 2011"
794,85.2,Adjusted,"MICS 2011"
795,85.8,Adjusted,"MICS 2011"
796,33.7,Adjusted,"DHS 2017-18"
797,33.2,Adjusted,"DHS 2017-18"
798,32.7,Adjusted,"DHS 2017-18"
799,78.2,Adjusted,"MICS 2013"
800,82,Adjusted,"MICS 2013"
801,86.4,Adjusted,"MICS 2013"
802,79.4,Adjusted,"Encuesta Permanente de Hogeres 2017"
803,83.7,Adjusted,"Encuesta Permanente de Hogeres 2017"
804,75.6,Adjusted,"Encuesta Permanente de Hogeres 2017"
805,85.1,Adjusted,"DHS 2012"
806,86.5,Adjusted,"DHS 2012"
807,85.8,Adjusted,"DHS 2012"
808,78.1,Adjusted,"DHS 2017"
809,74.1,Adjusted,"DHS 2017"
810,70.5,Adjusted,"DHS 2017"
811,93.1,Adjusted,"MICS 2012"
812,93.4,Adjusted,"MICS 2012"
813,93.7,Adjusted,"MICS 2012"
814,96.3,Adjusted,"MICS 2012"
815,97.1,Adjusted,"MICS 2012"
816,89.8,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
817,90.3,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
818,90,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
819,29.6,Adjusted,"DHS 2014-15"
820,25.3,Adjusted,"DHS 2014-15"
821,33.9,Adjusted,"DHS 2014-15"
822,95.4,Adjusted,"MICS 2012"
823,46.3,Adjusted,"MICS 2014"
824,51.8,Adjusted,"MICS 2014"
825,56.6,Adjusted,"MICS 2014"
826,31,Adjusted,"DHS 2017"
827,32.6,Adjusted,"DHS 2017"
828,34.1,Adjusted,"DHS 2017"
829,95.6,Adjusted,"MICS 2014"
830,96.7,Adjusted,"MICS 2014"
831,36.3,Adjusted,"MICS 2017"
832,36.2,Adjusted,"MICS 2017"
833,88.8,Adjusted,"DHS 2016"
834,85.2,Adjusted,"DHS 2016"
835,81.6,Adjusted,"DHS 2016"
836,3.1,Adjusted,"MICS 2010"
837,4.7,Adjusted,"MICS 2010"
838,6.2,Adjusted,"MICS 2010"
839,91.8,Adjusted,"MICS 2014"
840,97.2,Adjusted,"MICS 2014"
841,30.5,Adjusted,"MICS 2014"
842,32,Adjusted,"MICS 2014"
843,31.2,Adjusted,"MICS 2014"
844,62.4,Adjusted,"MICS 2018"
845,69,Adjusted,"MICS 2018"
846,55.6,Adjusted,"MICS 2018"
847,96.3,Adjusted,"DHS 2017"
848,97.2,Adjusted,"DHS 2017"
849,82.2,Adjusted,"MICS 2015-16"
850,86.6,Adjusted,"MICS 2015-16"
851,84.4,Adjusted,"MICS 2015-16"
852,54.2,Adjusted,"DHS 2016"
853,60.4,Adjusted,"DHS 2016"
854,47.9,Adjusted,"DHS 2016"
855,40.2,Adjusted,"DHS 2013-14"
856,42.6,Adjusted,"DHS 2013-14"
857,44.8,Adjusted,"DHS 2013-14"
858,82,Adjusted,"MICS 2018"
859,79.1,Adjusted,"MICS 2018"
860,85.1,Adjusted,"MICS 2018"
861,98,Adjusted,"MICS 2015-16"
862,98.3,Adjusted,"MICS 2015-16"
863,19.4,Adjusted,"DHS 2016"
864,18.2,Adjusted,"DHS 2016"
865,20.5,Adjusted,"DHS 2016"
866,98.3,Adjusted,"MICS 2012"
867,25,Adjusted,"DHS 2015-16"
868,30.5,Adjusted,"DHS 2015-16"
869,27.7,Adjusted,"DHS 2015-16"
870,74.8,Adjusted,"MICS 2012-13"
871,77,Adjusted,"MICS 2012-13"
872,76,Adjusted,"MICS 2012-13"
873,89.1,Adjusted,"MICS 2014"
874,90.4,Adjusted,"MICS 2014"
875,91.7,Adjusted,"MICS 2014"
876,43.2,Adjusted,"DHS 2013"
877,38.8,Adjusted,"DHS 2013"
878,34.2,Adjusted,"DHS 2013"
879,48.6,Adjusted,"DHS 2013-14"
880,46,Adjusted,"DHS 2013-14"
881,51.1,Adjusted,"DHS 2013-14"
882,59.7,Adjusted,"MICS 2019"
883,43.8,Adjusted,"MICS 2019"
884,51.7,Adjusted,"MICS 2019"
885,28,Adjusted,"DHS 2015"
886,37.1,Adjusted,"DHS 2015"
887,18.9,Adjusted,"DHS 2015"
888,50.7,Adjusted,"MICS 2012-13"
889,42.2,Adjusted,"MICS 2012-13"
890,33.9,Adjusted,"MICS 2012-13"
891,32.1,Adjusted,AGO_DHS_2015-16
892,30,Adjusted,AGO_DHS_2015-16
893,28.1,Adjusted,AGO_DHS_2015-16
894,78.9,Adjusted,"MICS 2011-12"
895,73.4,Adjusted,"MICS 2011-12"
896,85.2,Adjusted,"DHS 2015-16"
897,89.1,Adjusted,"DHS 2015-16"
898,81.4,Adjusted,"DHS 2015-16"
899,43.1,Adjusted,"MICS 2019"
900,48.1,Adjusted,"MICS 2019"
901,53.4,Adjusted,"MICS 2019"
902,84.3,Adjusted,"MICS 2012"
903,79.7,Adjusted,"MICS 2012"
904,82,Adjusted,"MICS 2012"
905,84.9,Adjusted,"MICS 2012"
906,14.8,Adjusted,"DHS 2017-18"
907,11.8,Adjusted,"DHS 2017-18"
908,9,Adjusted,"DHS 2017-18"
909,25.7,Adjusted,"MICS 2010"
910,21.8,Adjusted,"MICS 2010"
911,23.7,Adjusted,"MICS 2010"
912,90.4,Adjusted,"MICS 2011-12"
913,93.1,Adjusted,"MICS 2011-12"
914,91.8,Adjusted,"MICS 2011-12"
915,65.2,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
916,70.1,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
917,75.3,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
918,4.6,Adjusted,"DHS 2010"
919,3.4,Adjusted,"DHS 2010"
920,6,Adjusted,"DHS 2010"
921,11.5,Adjusted,"DHS 2016-17"
922,12.6,Adjusted,"DHS 2016-17"
923,12,Adjusted,"DHS 2016-17"
924,27.1,Adjusted,"DHS 2014"
925,26.4,Adjusted,"DHS 2014"
926,25.7,Adjusted,"DHS 2014"
927,29.9,Adjusted,"MICS 2014"
928,30.7,Adjusted,"MICS 2014"
929,29.1,Adjusted,"MICS 2014"
930,4.5,Adjusted,"MICS 2010"
931,4.9,Adjusted,"MICS 2010"
932,4.2,Adjusted,"MICS 2010"
933,9.7,Adjusted,"DHS 2014-15"
934,6.1,Adjusted,"DHS 2014-15"
935,8,Adjusted,"DHS 2014-15"
936,72.4,Adjusted,"CASEN 2017"
937,76.4,Adjusted,"CASEN 2017"
938,74.3,Adjusted,"CASEN 2017"
939,58,Adjusted,"National Population Sample Survey 2015"
940,60,Adjusted,"National Population Sample Survey 2015"
941,62,Adjusted,"National Population Sample Survey 2015"
942,48.1,Adjusted,"DHS 2015"
943,43.2,Adjusted,"DHS 2015"
944,53.4,Adjusted,"DHS 2015"
945,25.3,Adjusted,"DHS 2012"
946,28.7,Adjusted,"DHS 2012"
947,27.2,Adjusted,"DHS 2012"
948,35.1,Adjusted,"MICS 2014-15"
949,36.5,Adjusted,"MICS 2014-15"
950,37.8,Adjusted,"MICS 2014-15"
951,57.7,Adjusted,"MICS 2011"
952,39.4,Adjusted,"MICS 2011"
953,48.5,Adjusted,"MICS 2011"
954,16.8,Adjusted,"MICS 2016"
955,13.5,Adjusted,"MICS 2016"
956,20.2,Adjusted,"MICS 2016"
957,94.7,Adjusted,"MICS 2017"
958,94.9,Adjusted,"MICS 2017"
959,94.8,Adjusted,"MICS 2017"
960,28.4,Adjusted,"DHS 2013-14"
961,34.5,Adjusted,"DHS 2013-14"
962,40.4,Adjusted,"DHS 2013-14"
963,61.2,Adjusted,"MICS 2014"
964,52.9,Adjusted,"MICS 2014"
965,69.7,Adjusted,"MICS 2014"
966,72.6,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
967,69.5,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
968,70.9,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
969,69.5,Adjusted,"DHS 2014"
970,70.9,Adjusted,"DHS 2014"
971,68.1,Adjusted,"DHS 2014"
972,43.8,Adjusted,"MICS 2014"
973,56.3,Adjusted,"MICS 2014"
974,42.6,Adjusted,"MICS 2014"
975,23.6,Adjusted,"MICS 2014"
976,22.3,Adjusted,"MICS 2014"
977,24.9,Adjusted,"MICS 2014"
978,9,Adjusted,"DHS 2016"
979,7.9,Adjusted,"DHS 2016"
980,6.7,Adjusted,"DHS 2016"
981,13,Adjusted,"DHS 2012"
982,18.6,Adjusted,"DHS 2012"
983,15.9,Adjusted,"DHS 2012"
984,29,Adjusted,"MICS 2018"
985,30.7,Adjusted,"MICS 2018"
986,32.2,Adjusted,"MICS 2018"
987,86.8,Adjusted,"MICS 2018"
988,84.6,Adjusted,"MICS 2018"
989,82.9,Adjusted,"MICS 2018"
990,7.9,Adjusted,"DHS 2014"
991,8.7,Adjusted,"DHS 2014"
992,9.4,Adjusted,"DHS 2014"
993,31.4,Adjusted,"DHS 2014-15"
994,29.3,Adjusted,"DHS 2014-15"
995,33.6,Adjusted,"DHS 2014-15"
996,19.2,Adjusted,"MICS 2016"
997,16.4,Adjusted,"MICS 2016"
998,5.8,Adjusted,"MICS 2014"
999,7.5,Adjusted,"MICS 2014"
1000,9.2,Adjusted,"MICS 2014"
1001,59.2,Adjusted,"MICS 2014"
1002,68,Adjusted,"MICS 2014"
1003,75.7,Adjusted,"MICS 2014"
1004,23.1,Adjusted,"DHS 2016-17"
1005,19.2,Adjusted,"DHS 2016-17"
1006,21.2,Adjusted,"DHS 2016-17"
1007,32.1,Adjusted,"Encuesta Permanente de Hogares 2014"
1008,22.5,Adjusted,"Encuesta Permanente de Hogares 2014"
1009,27.2,Adjusted,"Encuesta Permanente de Hogares 2014"
1010,64.3,Adjusted,"DHS 2015-16"
1011,62.1,Adjusted,"DHS 2015-16"
1012,66.3,Adjusted,"DHS 2015-16"
1013,57.4,Adjusted,"National Socio-Economic Survey 2013"
1014,58.6,Adjusted,"National Socio-Economic Survey 2013"
1015,56.2,Adjusted,"National Socio-Economic Survey 2013"
1016,35.3,Adjusted,"MICS 2018"
1017,33.1,Adjusted,"MICS 2018"
1018,31,Adjusted,"MICS 2018"
1019,75.9,Adjusted,"MICS 2011"
1020,74.2,Adjusted,"MICS 2011"
1021,77.6,Adjusted,"MICS 2011"
1022,74.8,Adjusted,"DHS 2017-18"
1023,66.8,Adjusted,"DHS 2017-18"
1024,70.8,Adjusted,"DHS 2017-18"
1025,95.6,Adjusted,"MICS 2015"
1026,95.2,Adjusted,"MICS 2015"
1027,96.2,Adjusted,"MICS 2015"
1028,35.5,Adjusted,"DHS 2014"
1029,36.8,Adjusted,"DHS 2014"
1030,34.3,Adjusted,"DHS 2014"
1031,86.7,Adjusted,"MICS 2018"
1032,88.1,Adjusted,"MICS 2018"
1033,85.3,Adjusted,"MICS 2018"
1034,38.6,Adjusted,"MICS 2017"
1035,38.1,Adjusted,"MICS 2017"
1036,37.6,Adjusted,"MICS 2017"
1037,30.4,Adjusted,"MICS 2018"
1038,22.4,Adjusted,"MICS 2018"
1039,14.9,Adjusted,"MICS 2018"
1040,11.5,Adjusted,"DHS 2013"
1041,11.3,Adjusted,"DHS 2013"
1042,11.7,Adjusted,"DHS 2013"
1043,11.4,Adjusted,"MICS 2018"
1044,12.8,Adjusted,"MICS 2018"
1045,14.1,Adjusted,"MICS 2018"
1046,18.4,Adjusted,"DHS 2015-16"
1047,16.7,Adjusted,"DHS 2015-16"
1048,17.4,Adjusted,"DHS 2015-16"
1049,34.9,Adjusted,"DHS 2016-17"
1050,41,Adjusted,"DHS 2016-17"
1051,28.3,Adjusted,"DHS 2016-17"
1052,14.3,Adjusted,"MICS 2015"
1053,20.4,Adjusted,"MICS 2015"
1054,17.3,Adjusted,"MICS 2015"
1055,22.3,Adjusted,"MICS 2015"
1056,18,Adjusted,"MICS 2015"
1057,20,Adjusted,"MICS 2015"
1058,68,Adjusted,"ENIGH 2018"
1059,70.3,Adjusted,"ENIGH 2018"
1060,65.7,Adjusted,"ENIGH 2018"
1061,91,Adjusted,"MICS 2018"
1062,82.4,Adjusted,"MICS 2018"
1063,86.5,Adjusted,"MICS 2018"
1064,93.4,Adjusted,"MICS 2013"
1065,92.8,Adjusted,"MICS 2013"
1066,93.1,Adjusted,"MICS 2013"
1067,3.4,Adjusted,"DHS 2011"
1068,35.5,Adjusted,"DHS 2015-16"
1069,29.9,Adjusted,"DHS 2015-16"
1070,40.9,Adjusted,"DHS 2015-16"
1071,20.2,Adjusted,"DHS 2013"
1072,24.4,Adjusted,"DHS 2013"
1073,28.1,Adjusted,"DHS 2013"
1074,44.2,Adjusted,"DHS 2016"
1075,43.7,Adjusted,"DHS 2016"
1076,43.2,Adjusted,"DHS 2016"
1077,3.9,Adjusted,"DHS 2012"
1078,2.8,Adjusted,"DHS 2012"
1079,5.5,Adjusted,"DHS 2012"
1080,35,Adjusted,"DHS 2018"
1081,34,Adjusted,"DHS 2018"
1082,34.5,Adjusted,"DHS 2018"
1083,85.7,Adjusted,"MICS 2011"
1084,83.5,Adjusted,"MICS 2011"
1085,87.4,Adjusted,"MICS 2011"
1086,35.9,Adjusted,"DHS 2017-18"
1087,32.6,Adjusted,"DHS 2017-18"
1088,29.4,Adjusted,"DHS 2017-18"
1089,55.4,Adjusted,"MICS 2013"
1090,62,Adjusted,"MICS 2013"
1091,70.2,Adjusted,"MICS 2013"
1092,63,Adjusted,"Encuesta Permanente de Hogeres 2017"
1093,65,Adjusted,"Encuesta Permanente de Hogeres 2017"
1094,61.4,Adjusted,"Encuesta Permanente de Hogeres 2017"
1095,65.1,Adjusted,"DHS 2012"
1096,66.8,Adjusted,"DHS 2012"
1097,65.9,Adjusted,"DHS 2012"
1098,53.5,Adjusted,"DHS 2017"
1099,41,Adjusted,"DHS 2017"
1100,31.4,Adjusted,"DHS 2017"
1101,88,Adjusted,"MICS 2012"
1102,87.7,Adjusted,"MICS 2012"
1103,87.4,Adjusted,"MICS 2012"
1104,67.6,Adjusted,"MICS 2012"
1105,73,Adjusted,"MICS 2012"
1106,61.7,Adjusted,"MICS 2012"
1107,14.8,Adjusted,"DHS 2014-15"
1108,12.5,Adjusted,"DHS 2014-15"
1109,17.2,Adjusted,"DHS 2014-15"
1110,83.9,Adjusted,"MICS 2012"
1111,90.2,Adjusted,"MICS 2012"
1112,78.7,Adjusted,"MICS 2012"
1113,14.4,Adjusted,"MICS 2014"
1114,19.9,Adjusted,"MICS 2014"
1115,24.2,Adjusted,"MICS 2014"
1116,13.7,Adjusted,"DHS 2017"
1117,14.6,Adjusted,"DHS 2017"
1118,15.4,Adjusted,"DHS 2017"
1119,94.3,Adjusted,"MICS 2014"
1120,90.8,Adjusted,"MICS 2014"
1121,92.3,Adjusted,"MICS 2014"
1122,27.5,Adjusted,"MICS 2017"
1123,29.9,Adjusted,"MICS 2017"
1124,28.6,Adjusted,"MICS 2017"
1125,69.7,Adjusted,"DHS 2016"
1126,67.2,Adjusted,"DHS 2016"
1127,2.8,Adjusted,"MICS 2010"
1128,6.4,Adjusted,"MICS 2010"
1129,63.3,Adjusted,"MICS 2014"
1130,71.7,Adjusted,"MICS 2014"
1131,80.4,Adjusted,"MICS 2014"
1132,27.8,Adjusted,"MICS 2014"
1133,30.3,Adjusted,"MICS 2014"
1134,30.5,Adjusted,"MICS 2018"
1135,38.8,Adjusted,"MICS 2018"
1136,73.6,Adjusted,"DHS 2017"
1137,87.4,Adjusted,"DHS 2017"
1138,80.5,Adjusted,"DHS 2017"
1139,61,Adjusted,"MICS 2015-16"
1140,72.9,Adjusted,"MICS 2015-16"
1141,66.8,Adjusted,"MICS 2015-16"
1142,19.8,Adjusted,"DHS 2009-10"
1143,37.7,Adjusted,"DHS 2016"
1144,17.9,Adjusted,"DHS 2009-10"
1145,32.4,Adjusted,"DHS 2016"
1146,21.9,Adjusted,"DHS 2009-10"
1147,43.6,Adjusted,"DHS 2016"
1148,15.3,Adjusted,"DHS 2013-14"
1149,21.6,Adjusted,"DHS 2013-14"
1150,18.6,Adjusted,"DHS 2013-14"
1151,59.3,Adjusted,"MICS 2018"
1152,50.2,Adjusted,"MICS 2018"
1153,68.6,Adjusted,"MICS 2018"
1154,95.3,Adjusted,"MICS 2015-16"
1155,95.6,Adjusted,"MICS 2015-16"
1156,7.8,Adjusted,"DHS 2016"
1157,8.6,Adjusted,"DHS 2016"
1158,7.1,Adjusted,"DHS 2016"
1159,60.4,Adjusted,"MICS 2012"
1160,64.9,Adjusted,"MICS 2012"
1161,70.2,Adjusted,"MICS 2012"
1162,3.2,Adjusted,"DHS 2015-16"
1163,3,Adjusted,"DHS 2015-16"
1164,3.1,Adjusted,"DHS 2015-16"
1165,32.7,Adjusted,"MICS 2012-13"
1166,54.2,Adjusted,"MICS 2012-13"
1167,42.4,Adjusted,"MICS 2012-13"
1168,67.1,Adjusted,"MICS 2014"
1169,70.7,Adjusted,"MICS 2014"
1170,74.3,Adjusted,"MICS 2014"
1171,33.6,Adjusted,"DHS 2013"
1172,29.3,Adjusted,"DHS 2013"
1173,25.2,Adjusted,"DHS 2013"
1174,24.3,Adjusted,"DHS 2013-14"
1175,25.4,Adjusted,"DHS 2013-14"
1176,23.1,Adjusted,"DHS 2013-14"
1177,36.4,Adjusted,"MICS 2019"
1178,37.3,Adjusted,"MICS 2019"
1179,36.9,Adjusted,"MICS 2019"
1180,37.2,NA,"DHS 2015"
1181,49.3,NA,"DHS 2015"
1182,25.6,NA,"DHS 2015"
1183,97.4,NA,"DHS 2017-18"
1184,97.7,NA,"DHS 2017-18"
1185,97.9,NA,"DHS 2017-18"
1186,56.5,NA,"MICS 2012-13"
1187,64.7,NA,"MICS 2012-13"
1188,48.6,NA,"MICS 2012-13"
1189,42.1,NA,"DHS 2015-16"
1190,36.5,NA,"DHS 2015-16"
1191,31.7,NA,"DHS 2015-16"
1192,79.1,NA,"MICS 2011-12"
1193,74.4,NA,"MICS 2011-12"
1194,69.7,NA,"MICS 2011-12"
1195,97.1,NA,"DHS 2015-16"
1196,94.6,NA,"DHS 2015-16"
1197,99.2,NA,"DHS 2015-16"
1198,59.2,NA,"MICS 2019"
1199,64.7,NA,"MICS 2019"
1200,70.5,NA,"MICS 2019"
1201,98,NA,"MICS 2012"
1202,97.9,NA,"MICS 2012"
1203,99.9,NA,"MICS 2012"
1204,100,NA,"MICS 2012"
1205,54.8,NA,"MICS 2015-16"
1206,65.5,NA,"MICS 2015-16"
1207,60.3,NA,"MICS 2015-16"
1208,25.1,NA,"DHS 2017-18"
1209,18.6,NA,"DHS 2017-18"
1210,13.4,NA,"DHS 2017-18"
1211,37.6,NA,"MICS 2010"
1212,40.5,NA,"MICS 2010"
1213,38.9,NA,"MICS 2010"
1214,96.8,NA,"MICS 2011-12"
1215,96.9,NA,"MICS 2011-12"
1216,91.5,NA,"Botswana Demographic Survey 2017"
1217,91.6,NA,"Botswana Demographic Survey 2017"
1218,80.9,NA,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
1219,84.7,NA,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
1220,88.6,NA,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
1221,9,NA,"DHS 2010"
1222,5.6,NA,"DHS 2010"
1223,13.2,NA,"DHS 2010"
1224,19.4,NA,"DHS 2016-17"
1225,25.7,NA,"DHS 2016-17"
1226,22.2,NA,"DHS 2016-17"
1227,38.9,NA,"DHS 2014"
1228,40,NA,"DHS 2014"
1229,41,NA,"DHS 2014"
1230,43.4,NA,"MICS 2014"
1231,40.6,NA,"MICS 2014"
1232,46.2,NA,"MICS 2014"
1233,11.2,NA,"MICS 2010"
1234,15.8,NA,"MICS 2010"
1235,8.2,NA,"MICS 2010"
1236,18.3,NA,"DHS 2014-15"
1237,10.2,NA,"DHS 2014-15"
1238,14.1,NA,"DHS 2014-15"
1239,94.3,NA,"CASEN 2017"
1240,96.9,NA,"CASEN 2017"
1241,95.6,NA,"CASEN 2017"
