observationcode,obs_value,observationstatus,data_source
141,45.9,Adjusted,"DHS 2017-18"
142,44.3,Adjusted,"DHS 2017-18"
143,45.1,Adjusted,"DHS 2017-18"
144,96.4,Adjusted,"MICS 2015"
145,96,Adjusted,"MICS 2015"
146,96.7,Adjusted,"MICS 2015"
147,90.3,Adjusted,"DHS 2014"
148,90.6,Adjusted,"DHS 2014"
149,90,Adjusted,"DHS 2014"
150,91.3,Adjusted,"MICS 2018"
151,90.2,Adjusted,"MICS 2018"
152,76.3,Adjusted,"MICS 2017"
153,73.9,Adjusted,"MICS 2017"
154,71.8,Adjusted,"MICS 2017"
155,84.9,Adjusted,"MICS 2018"
156,81.8,Adjusted,"MICS 2018"
157,67,Adjusted,"DHS 2013"
158,68.4,Adjusted,"DHS 2013"
159,65.8,Adjusted,"DHS 2013"
160,58.3,Adjusted,"MICS 2018"
161,60.4,Adjusted,"MICS 2018"
162,59.4,Adjusted,"MICS 2018"
163,65.3,Adjusted,"DHS 2015-16"
164,60.4,Adjusted,"DHS 2015-16"
165,62.8,Adjusted,"DHS 2015-16"
166,98,Adjusted,"DHS 2016-17"
167,98.9,Adjusted,"DHS 2016-17"
168,97.3,Adjusted,"DHS 2016-17"
169,51.9,Adjusted,"MICS 2015"
170,53.3,Adjusted,"MICS 2015"
171,52.6,Adjusted,"MICS 2015"
172,24,Adjusted,"MICS 2015"
173,27,Adjusted,"MICS 2015"
174,25.5,Adjusted,"MICS 2015"
175,97.3,Adjusted,"ENIGH 2018"
176,97.4,Adjusted,"ENIGH 2018"
177,97.2,Adjusted,"ENIGH 2018"
178,88.3,Adjusted,"MICS 2018"
179,84.3,Adjusted,"MICS 2018"
180,80.2,Adjusted,"MICS 2018"
181,46.1,Adjusted,"MICS 2013"
182,54.4,Adjusted,"MICS 2013"
183,40.1,Adjusted,"MICS 2013"
184,38.7,Adjusted,"DHS 2011"
185,39,Adjusted,"DHS 2011"
186,38.3,Adjusted,"DHS 2011"
187,55.8,Adjusted,"DHS 2015-16"
188,55.3,Adjusted,"DHS 2015-16"
189,56.2,Adjusted,"DHS 2015-16"
190,88,Adjusted,"DHS 2013"
191,91.1,Adjusted,"DHS 2013"
192,89.6,Adjusted,"DHS 2013"
193,89.3,Adjusted,"DHS 2016"
194,87.4,Adjusted,"DHS 2016"
195,88.4,Adjusted,"DHS 2016"
196,32,Adjusted,"DHS 2012"
197,28.9,Adjusted,"DHS 2012"
198,35.1,Adjusted,"DHS 2012"
199,61.2,Adjusted,"DHS 2018"
200,59.8,Adjusted,"DHS 2018"
201,60.5,Adjusted,"DHS 2018"
202,37.3,Adjusted,"MICS 2011"
203,37,Adjusted,"MICS 2011"
204,37.6,Adjusted,"MICS 2011"
205,60.9,Adjusted,"DHS 2017-18"
206,60.8,Adjusted,"DHS 2017-18"
207,60.6,Adjusted,"DHS 2017-18"
208,79,Adjusted,"MICS 2013"
209,80.8,Adjusted,"MICS 2013"
210,82.7,Adjusted,"MICS 2013"
211,96.5,Adjusted,"Encuesta Permanente de Hogeres 2017"
212,95.4,Adjusted,"DHS 2012"
213,96.2,Adjusted,"DHS 2012"
214,95.8,Adjusted,"DHS 2012"
215,87,Adjusted,"DHS 2017"
216,84.4,Adjusted,"DHS 2017"
217,82.2,Adjusted,"DHS 2017"
218,88.1,Adjusted,"MICS 2012"
219,89.1,Adjusted,"MICS 2012"
220,90,Adjusted,"MICS 2012"
221,93.9,Adjusted,"MICS 2012"
222,95,Adjusted,"MICS 2012"
223,92.6,Adjusted,"MICS 2012"
224,84.2,Adjusted,"DHS 2014-15"
225,84.4,Adjusted,"DHS 2014-15"
226,84,Adjusted,"DHS 2014-15"
227,53.8,Adjusted,"MICS 2012"
228,56.4,Adjusted,"MICS 2012"
229,50.1,Adjusted,"MICS 2012"
230,56.9,Adjusted,"MICS 2014"
231,62.5,Adjusted,"MICS 2014"
232,68.7,Adjusted,"MICS 2014"
233,25.6,Adjusted,"DHS 2017"
234,30.3,Adjusted,"DHS 2017"
235,34.5,Adjusted,"DHS 2017"
236,98.5,Adjusted,"MICS 2014"
237,100,Adjusted,"MICS 2014"
238,99.3,Adjusted,"MICS 2014"
239,65.9,Adjusted,"MICS 2017"
240,62,Adjusted,"MICS 2017"
241,63.9,Adjusted,"MICS 2017"
242,96.3,Adjusted,"DHS 2016"
243,97.3,Adjusted,"DHS 2016"
244,98.1,Adjusted,"DHS 2016"
245,9.4,Adjusted,"MICS 2010"
246,10.6,Adjusted,"MICS 2010"
247,11.8,Adjusted,"MICS 2010"
248,91.2,Adjusted,"MICS 2014"
249,89.7,Adjusted,"MICS 2014"
250,88.1,Adjusted,"MICS 2014"
251,42.5,Adjusted,"MICS 2014"
252,39.1,Adjusted,"MICS 2014"
253,40.8,Adjusted,"MICS 2014"
254,93.8,Adjusted,"MICS 2018"
255,94.8,Adjusted,"MICS 2018"
256,92.9,Adjusted,"MICS 2018"
257,52.4,Adjusted,"DHS 2017"
258,47.5,Adjusted,"DHS 2017"
259,49.8,Adjusted,"DHS 2017"
260,98.5,Adjusted,"MICS 2015-16"
261,98.8,Adjusted,"MICS 2015-16"
262,98.6,Adjusted,"MICS 2015-16"
263,63.7,Adjusted,"DHS 2016"
264,62.8,Adjusted,"DHS 2016"
265,64.7,Adjusted,"DHS 2016"
266,77,Adjusted,"DHS 2013-14"
267,79,Adjusted,"DHS 2013-14"
268,80.9,Adjusted,"DHS 2013-14"
269,90.3,Adjusted,"MICS 2018"
270,89.8,Adjusted,"MICS 2018"
271,90.8,Adjusted,"MICS 2018"
272,40.2,Adjusted,"MICS 2015-16"
273,39.7,Adjusted,"MICS 2015-16"
274,40.9,Adjusted,"MICS 2015-16"
275,72.3,Adjusted,"DHS 2016"
276,71.2,Adjusted,"DHS 2016"
277,73.5,Adjusted,"DHS 2016"
278,78,Adjusted,"MICS 2012"
279,79.4,Adjusted,"MICS 2012"
280,81,Adjusted,"MICS 2012"
281,66.2,Adjusted,"DHS 2015-16"
282,71.9,Adjusted,"DHS 2015-16"
283,69,Adjusted,"DHS 2015-16"
284,99.1,Adjusted,"MICS 2012-13"
285,98.6,Adjusted,"MICS 2012-13"
286,98.9,Adjusted,"MICS 2012-13"
287,95.5,Adjusted,"MICS 2014"
288,94.9,Adjusted,"MICS 2014"
289,94.2,Adjusted,"MICS 2014"
290,13.2,Adjusted,"DHS 2013"
291,13.8,Adjusted,"DHS 2013"
292,14.3,Adjusted,"DHS 2013"
293,58.4,Adjusted,"DHS 2013-14"
294,56.1,Adjusted,"DHS 2013-14"
295,60.6,Adjusted,"DHS 2013-14"
296,79.8,Adjusted,"MICS 2019"
297,82,Adjusted,"MICS 2019"
298,81,Adjusted,"MICS 2019"
299,63.7,Adjusted,"DHS 2015"
300,73.1,Adjusted,"DHS 2015"
301,53.2,Adjusted,"DHS 2015"
302,97.4,Adjusted,"MICS 2012-13"
303,97.5,Adjusted,"MICS 2012-13"
304,76.1,Adjusted,"DHS 2015-16"
305,75.8,Adjusted,"DHS 2015-16"
306,75.6,Adjusted,"DHS 2015-16"
307,99.1,Adjusted,"MICS 2011-12"
308,98.6,Adjusted,"MICS 2011-12"
309,98.2,Adjusted,"MICS 2011-12"
310,95.4,Adjusted,"DHS 2015-16"
311,95.5,Adjusted,"DHS 2015-16"
312,66.7,Adjusted,"DHS-style 2011"
313,68.6,Adjusted,"DHS-style 2011"
314,67.7,Adjusted,"DHS-style 2011"
315,83.3,Adjusted,"MICS 2019"
316,85.9,Adjusted,"MICS 2019"
317,88.5,Adjusted,"MICS 2019"
318,100,Adjusted,"MICS 2012"
319,98.9,Adjusted,"MICS 2012"
320,99.5,Adjusted,"MICS 2012"
321,91.7,Adjusted,"MICS 2012"
322,90.4,Adjusted,"MICS 2012"
323,92.9,Adjusted,"MICS 2012"
324,95.7,Adjusted,"MICS 2015-16"
325,96,Adjusted,"MICS 2015-16"
326,95.8,Adjusted,"MICS 2015-16"
327,71.4,Adjusted,"DHS 2017-18"
328,68.3,Adjusted,"DHS 2017-18"
329,65.1,Adjusted,"DHS 2017-18"
330,95.2,Adjusted,"Living Standard Survey 2012"
331,94.8,Adjusted,"Living Standard Survey 2012"
332,95.5,Adjusted,"Living Standard Survey 2012"
333,96.8,Adjusted,"MICS 2011-12"
334,95.1,Adjusted,"MICS 2011-12"
335,96.1,Adjusted,"MICS 2011-12"
336,90,Adjusted,"Core Welfare Indicators Survey 2009-10"
337,95.7,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
338,96,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
339,96.3,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
340,51.9,Adjusted,"DHS 2010"
341,50,Adjusted,"DHS 2010"
342,53.7,Adjusted,"DHS 2010"
343,82.2,Adjusted,"DHS 2016-17"
344,82.1,Adjusted,"DHS 2016-17"
345,93.9,Adjusted,"DHS 2014"
346,92.8,Adjusted,"DHS 2014"
347,91.8,Adjusted,"DHS 2014"
348,85.4,Adjusted,"MICS 2014"
349,83.5,Adjusted,"MICS 2014"
350,87.3,Adjusted,"MICS 2014"
351,73.3,Adjusted,"MICS 2010"
352,78.3,Adjusted,"MICS 2010"
353,68.1,Adjusted,"MICS 2010"
354,53.3,Adjusted,"DHS 2014-15"
355,47.1,Adjusted,"DHS 2014-15"
356,50.3,Adjusted,"DHS 2014-15"
357,87.7,Adjusted,"CASEN 2017"
358,90.1,Adjusted,"CASEN 2017"
359,88.8,Adjusted,"CASEN 2017"
360,96.6,Adjusted,"Population Census 2010"
361,95,Adjusted,"National Population Sample Survey 2015"
362,94.2,Adjusted,"DHS 2015"
363,93.7,Adjusted,"DHS 2015"
364,94.6,Adjusted,"DHS 2015"
365,84.4,Adjusted,"DHS 2012"
366,96.7,Adjusted,"MICS 2014-15"
367,96.5,Adjusted,"MICS 2014-15"
368,96.4,Adjusted,"MICS 2014-15"
369,96.3,Adjusted,"MICS 2011"
370,95.8,Adjusted,"MICS 2011"
371,96.1,Adjusted,"MICS 2011"
372,76.8,Adjusted,"MICS 2016"
373,74.1,Adjusted,"MICS 2016"
374,79.4,Adjusted,"MICS 2016"
375,96.7,Adjusted,"MICS 2017"
376,96.6,Adjusted,"MICS 2017"
377,85.5,Adjusted,"DHS 2013-14"
378,87,Adjusted,"DHS 2013-14"
379,88.4,Adjusted,"DHS 2013-14"
380,69.5,Adjusted,"Enqu�te Djiboutienne Aupr_s des M�nages pour les Indicateurs Sociaux 2012"
381,67.9,Adjusted,"Enqu�te Djiboutienne Aupr_s des M�nages pour les Indicateurs Sociaux 2012"
382,70.8,Adjusted,"Enqu�te Djiboutienne Aupr_s des M�nages pour les Indicateurs Sociaux 2012"
383,94.4,Adjusted,"MICS 2014"
384,96.1,Adjusted,"MICS 2014"
385,95.7,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
386,95.2,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
387,95.4,Adjusted,"GEPH-ENEMDU-DICIEMBRE 2019"
388,96.8,Adjusted,"DHS 2014"
389,97,Adjusted,"DHS 2014"
390,96.6,Adjusted,"DHS 2014"
391,95.8,Adjusted,"MICS 2014"
392,96.2,Adjusted,"MICS 2014"
393,95.4,Adjusted,"MICS 2014"
394,78.9,Adjusted,"Eritrean Population and Health Survey 2010"
395,82.9,Adjusted,"Eritrean Population and Health Survey 2010"
396,81,Adjusted,"Eritrean Population and Health Survey 2010"
397,97.7,Adjusted,"MICS 2014"
398,97.3,Adjusted,"MICS 2014"
399,98,Adjusted,"MICS 2014"
400,68.1,Adjusted,"DHS 2016"
401,68.3,Adjusted,"DHS 2016"
402,68.2,Adjusted,"DHS 2016"
403,96.9,Adjusted,"DHS 2012"
404,98.4,Adjusted,"DHS 2012"
405,97.7,Adjusted,"DHS 2012"
406,75.7,Adjusted,"MICS 2018"
407,78.1,Adjusted,"MICS 2018"
408,80.4,Adjusted,"MICS 2018"
409,98,Adjusted,"MICS 2018"
410,97.9,Adjusted,"MICS 2018"
411,97.8,Adjusted,"MICS 2018"
412,69.8,Adjusted,"DHS 2014"
413,69.9,Adjusted,"DHS 2014"
414,93.6,Adjusted,"DHS 2014-15"
415,93,Adjusted,"DHS 2014-15"
416,94.3,Adjusted,"DHS 2014-15"
417,63,Adjusted,"MICS 2016"
418,60.3,Adjusted,"MICS 2016"
419,57.6,Adjusted,"MICS 2016"
420,62.3,Adjusted,"MICS 2014"
421,62.4,Adjusted,"MICS 2014"
422,96.9,Adjusted,"MICS 2014"
423,97,Adjusted,"MICS 2014"
424,97.1,Adjusted,"MICS 2014"
425,85.2,Adjusted,"DHS 2016-17"
426,83.4,Adjusted,"DHS 2016-17"
427,92.9,Adjusted,"Encuesta Permanente de Hogares 2014"
428,92.2,Adjusted,"Encuesta Permanente de Hogares 2014"
429,92.5,Adjusted,"Encuesta Permanente de Hogares 2014"
430,95.2,Adjusted,"DHS  2015-16"
431,95.1,Adjusted,"DHS  2015-16"
432,95.4,Adjusted,"DHS  2015-16"
433,99.4,Adjusted,"National Socio-Economic Survey 2015"
434,96.9,Adjusted,"Iran's Multiple Indicator Demographic and Health Survey 2010-11"
435,96.7,Adjusted,"Iran's Multiple Indicator Demographic and Health Survey 2010-11"
436,96.4,Adjusted,"Iran's Multiple Indicator Demographic and Health Survey 2010-11"
437,90.4,Adjusted,"MICS 2018"
438,91.6,Adjusted,"MICS 2018"
439,92.7,Adjusted,"MICS 2018"
440,98,Adjusted,"MICS 2011"
441,97.2,Adjusted,"MICS 2011"
442,97.9,Adjusted,"DHS 2017-18"
443,96.9,Adjusted,"DHS 2017-18"
